iterace, aco, random
48,7862,24190
49,7862,24190
0,12878,26925
1,11616,26925
2,10857,25786
3,9974,25786
4,8973,25786
5,8973,25786
6,8723,25786
7,8230,25786
8,8230,25786
9,8230,25786
10,8230,25786
11,8025,25392
12,8025,25392
13,8025,25257
14,8025,25257
15,8025,25257
16,8025,25257
17,7658,25257
18,7658,25257
19,7658,25257
20,7658,25257
21,7658,25257
22,7658,25257
23,7658,24816
24,7658,24816
25,7658,24816
26,7658,24816
27,7658,24816
28,7658,24816
29,7658,24816
30,7658,24816
31,7658,24816
32,7658,24816
33,7658,24816
34,7658,24816
35,7658,24816
36,7658,24816
37,7658,24816
38,7658,24816
39,7658,24816
40,7658,24816
41,7658,24816
42,7658,24816
43,7658,24816
44,7658,24816
45,7658,24816
46,7658,24816
47,7658,24816
48,7658,24816
49,7658,24816
0,12357,26530
1,10336,26503
2,10336,26422
3,9275,25818
4,9275,25818
5,8856,25818
6,8856,25818
7,8628,25818
8,8628,25818
9,8628,25818
10,8329,25818
11,8329,25818
12,8329,25818
13,7932,25818
14,7928,25818
15,7928,24608
16,7928,24608
17,7928,24608
18,7928,24608
19,7928,24608
20,7928,24608
21,7928,24608
22,7928,24608
23,7928,24608
24,7928,24608
25,7928,24608
26,7928,24608
27,7928,24608
28,7928,24608
29,7928,24608
30,7928,24608
31,7928,24339
32,7928,24339
33,7928,24339
34,7928,24339
35,7928,24339
36,7928,24339
37,7928,24339
38,7928,24339
39,7928,24339
40,7928,24339
41,7928,24339
42,7928,24339
43,7928,24339
44,7928,24339
45,7928,24339
46,7928,24339
47,7928,24339
48,7928,24339
49,7928,24339
0,12797,27542
1,11181,27124
2,10279,25623
3,9287,25401
4,8866,25401
5,8615,25401
6,8615,25401
7,8575,25401
8,8507,25401
9,8507,25401
10,8507,25401
11,8507,25401
12,8316,25401
13,8281,25401
14,8281,24752
15,8026,24752
16,8026,24752
17,8026,24752
18,8026,24752
19,8026,24752
20,8026,24752
21,8003,24752
22,8003,24752
23,8003,24752
24,8003,24752
25,8003,24752
26,8003,24752
27,8003,24752
28,8003,24752
29,8003,24752
30,8003,24752
31,8003,24752
32,8003,24262
33,8003,24262
34,8003,24262
35,8003,24262
36,7936,24262
37,7936,24262
38,7936,24262
39,7936,24262
40,7936,24262
41,7936,24262
42,7936,24262
43,7936,24262
44,7915,24262
45,7915,24262
46,7915,24262
47,7915,24262
48,7915,24262
49,7857,24262
0,12689,26602
1,10784,26602
2,10201,25743
3,9952,25743
4,9300,25384
5,9138,25384
6,8913,25384
7,8722,25384
8,8722,25384
9,8722,25384
10,8722,25384
11,8484,25384
12,8378,25384
13,8378,25384
14,8255,25384
15,8255,25384
16,8255,25384
17,8255,25384
18,8255,25384
19,8255,25384
20,8255,25325
21,8255,25325
22,8255,25325
23,7993,25325
24,7993,25325
25,7993,25325
26,7993,25325
27,7993,25325
28,7993,25325
29,7993,25325
30,7993,25325
31,7993,25325
32,7993,25325
33,7993,25325
34,7993,25325
35,7993,25325
36,7993,25325
37,7993,25325
38,7993,25325
39,7993,24958
40,7993,24958
41,7993,24958
42,7993,24958
43,7993,24958
44,7993,24958
45,7993,24958
46,7993,24958
47,7993,24958
48,7993,24958
49,7870,24226
0,11549,26527
1,11549,26527
2,10370,24630
3,9699,24630
4,9699,24630
5,8290,24630
6,8290,24630
7,8290,24630
8,8181,24630
9,8181,24630
10,8181,24630
11,8181,24630
12,7976,24630
13,7976,24630
14,7976,24630
15,7976,24630
16,7976,24630
17,7976,24630
18,7976,24630
19,7976,24630
20,7976,24630
21,7976,24630
22,7976,24630
23,7976,24630
24,7976,24630
25,7976,24630
26,7976,24630
27,7976,24630
28,7949,24145
29,7949,24145
30,7949,24145
31,7949,24145
32,7949,24145
33,7949,24145
34,7949,24145
35,7949,24145
36,7949,24145
37,7949,24145
38,7949,24145
39,7949,24145
40,7949,24145
41,7949,24145
42,7949,24145
43,7949,24145
44,7949,24145
45,7949,24145
46,7949,24145
47,7949,24145
48,7949,24145
49,7949,24145
0,11867,25838
1,11244,25838
2,9783,25763
3,9225,25763
4,9225,25763
5,9225,25763
6,8571,25763
7,8571,24110
8,8518,24110
9,8325,24110
10,8325,24110
11,8325,24110
12,8005,24110
13,8005,24110
14,8005,24110
15,8005,24110
16,8005,24110
17,8005,24110
18,8005,24110
19,8005,24110
20,8005,24110
21,8005,24110
22,8005,24110
23,7922,24110
24,7922,24110
25,7922,24110
26,7922,24110
27,7922,24110
28,7922,24110
29,7922,24110
30,7922,24110
31,7922,24110
32,7922,24110
33,7922,24110
34,7922,24110
35,7922,24110
36,7922,24110
37,7922,24110
38,7922,24110
39,7922,24110
40,7922,24110
41,7922,24110
42,7922,24110
43,7922,24110
44,7922,24110
45,7922,24110
46,7922,24110
47,7922,24110
48,7922,24110
49,7922,24110
0,12398,26423
1,10626,26099
2,10331,26099
3,9801,26099
4,9539,26099
5,9156,26019
6,8813,26019
7,8285,25258
8,8285,25258
9,8285,25258
10,8285,25258
11,8285,25258
12,8240,25008
13,8240,25008
14,8240,25008
15,8240,25008
16,8240,25008
17,8005,25008
18,8005,25008
19,8005,25008
20,8005,25008
21,8005,25008
22,8005,25008
23,8005,25008
24,7932,25008
25,7932,24943
26,7932,24943
27,7932,24943
28,7932,24943
29,7932,24943
30,7932,24943
31,7789,24943
32,7786,24943
33,7786,24943
34,7786,24943
35,7786,24872
36,7786,24872
37,7786,24872
38,7786,24872
39,7786,24872
40,7786,24872
41,7786,24872
42,7786,24872
43,7786,24872
44,7786,24872
45,7786,24872
46,7786,24872
47,7786,24872
48,7786,24872
49,7786,24872
0,12438,24990
1,11228,24990
2,9982,24990
3,9095,24990
4,8870,24990
5,8870,24990
6,8801,24990
7,8801,24990
8,8540,24990
9,8540,24990
10,8540,24990
11,8211,24990
12,8211,24990
13,8211,24990
14,8211,24990
15,8211,24990
16,8006,24990
17,8006,24990
18,8006,24990
19,7930,24990
20,7930,24990
21,7930,24952
22,7930,24952
23,7930,24283
24,7930,24283
25,7930,24283
26,7930,24283
27,7930,24283
28,7930,24283
29,7930,24283
30,7930,24283
31,7930,24283
32,7930,24283
33,7873,24283
34,7873,24283
35,7873,24283
36,7873,24102
37,7873,24102
38,7873,24102
39,7873,24102
40,7873,24102
41,7873,24102
42,7873,24102
43,7873,24102
44,7873,24102
45,7873,24102
46,7873,24102
47,7873,24102
48,7873,24102
49,7873,24102
0,11412,26879
1,11257,26558
2,10554,25452
3,9538,25452
4,8442,25452
5,8442,25452
6,8442,25452
7,8442,25218
8,8442,25218
9,7784,25218
10,7784,25218
11,7784,25218
12,7784,25218
13,7784,25218
14,7784,25218
15,7784,25218
16,7784,25218
17,7784,25218
18,7784,25218
19,7784,25218
20,7784,25218
21,7784,25218
22,7784,25218
23,7784,25218
24,7784,25218
25,7784,25218
26,7784,25218
27,7784,25218
28,7784,25218
29,7784,25218
30,7784,25218
31,7784,25218
32,7784,25218
33,7784,25218
34,7784,25218
35,7784,25218
36,7784,25218
37,7784,25218
38,7784,25218
39,7784,25218
40,7784,25218
41,7784,24984
42,7784,24984
43,7784,24984
44,7784,24984
45,7784,24984
46,7784,24954
47,7784,24954
48,7784,24954
49,7784,24622
0,12289,27058
1,11881,27058
2,9821,25941
3,9244,25941
4,9129,25941
5,8533,25941
6,8533,25941
7,8457,25941
8,8457,25941
9,8400,25040
10,8252,25040
11,7854,25040
12,7854,25040
13,7854,25040
14,7854,25040
15,7854,25040
16,7854,25040
17,7854,25040
18,7854,25040
19,7854,25040
20,7854,25040
21,7854,25040
22,7854,25040
23,7854,25040
24,7854,24682
25,7854,24682
26,7854,24682
27,7854,24682
28,7854,24682
29,7854,24682
30,7854,24682
31,7854,24682
32,7854,24682
33,7854,24682
34,7854,24682
35,7854,24229
36,7840,24229
37,7840,24229
38,7840,24229
39,7840,24229
40,7840,24229
41,7840,24229
42,7840,24229
43,7840,24229
44,7840,24229
45,7840,24229
46,7840,24229
47,7840,24229
48,7840,24229
49,7840,24229
0,11924,26040
1,10786,26040
2,9897,26040
3,9826,26040
4,9396,26040
5,9165,26040
6,8222,26040
7,8222,23961
8,8222,23961
9,8222,23961
10,8222,23961
11,8222,23961
12,8222,23961
13,8222,23961
14,8222,23961
15,7791,23961
16,7791,23961
17,7791,23961
18,7791,23961
19,7791,23961
20,7791,23961
21,7757,23961
22,7757,23961
23,7757,23961
24,7757,23961
25,7757,23961
26,7757,23961
27,7757,23961
28,7757,23262
29,7757,23262
30,7757,23262
31,7757,23262
32,7757,23262
33,7757,23262
34,7757,23262
35,7757,23262
36,7757,23262
37,7757,23262
38,7757,23262
39,7757,23262
40,7757,23262
41,7757,23262
42,7757,23262
43,7757,23262
44,7757,23262
45,7757,23262
46,7757,23262
47,7757,23262
48,7757,23262
49,7757,23262
0,11654,26163
1,10893,25682
2,10075,25682
3,9625,25682
4,8721,25682
5,8721,25542
6,8721,24687
7,8721,24687
8,8721,24687
9,8721,24687
10,8721,24687
11,8433,24687
12,8433,24687
13,8433,24687
14,8433,24687
15,8433,24687
16,8193,24687
17,8193,24687
18,8193,24687
19,8193,24687
20,7847,24687
21,7847,24687
22,7847,24687
23,7847,24687
24,7847,24687
25,7847,24687
26,7847,24687
27,7847,23749
28,7759,23749
29,7759,23749
30,7759,23749
31,7759,23749
32,7759,23749
33,7759,23749
34,7759,23749
35,7759,23749
36,7759,23749
37,7759,23749
38,7759,23749
39,7759,23749
40,7759,23749
41,7759,23749
42,7759,23749
43,7759,23749
44,7759,23749
45,7759,23749
46,7759,23749
47,7759,23749
48,7759,23749
49,7759,23749
0,12535,25753
1,11233,25753
2,10688,25753
3,9101,25753
4,9101,25350
5,9101,25350
6,8534,25350
7,8534,25350
8,8534,25350
9,8534,25350
10,8056,24970
11,8056,24970
12,8056,24970
13,8056,24970
14,8056,24970
15,8051,24970
16,8051,24970
17,8051,24970
18,8051,24970
19,8051,24970
20,8051,24970
21,8051,24970
22,8051,24970
23,8051,24970
24,8051,24970
25,8051,24970
26,8051,24053
27,8051,24053
28,8051,24053
29,8051,24053
30,7823,24053
31,7823,24053
32,7823,24053
33,7791,24053
34,7791,24053
35,7697,24053
36,7697,24053
37,7697,24053
38,7697,24053
39,7697,24053
40,7697,24053
41,7697,24053
42,7697,24053
43,7697,24053
44,7697,24053
45,7697,24053
46,7697,24053
47,7697,24053
48,7697,24053
49,7697,24053
0,12320,27135
1,10520,26919
2,10381,26532
3,10128,26532
4,8536,26332
5,8536,26332
6,8536,24085
7,8536,24085
8,8408,24085
9,8408,24085
10,8408,24085
11,8408,24085
12,8370,24085
13,8370,24085
14,8370,24085
15,8370,24085
16,8251,24085
17,8038,24085
18,8038,24085
19,8038,24085
20,8038,24085
21,8038,24085
22,8038,24085
23,8006,24085
24,8006,24085
25,8006,24085
26,7911,24085
27,7911,24085
28,7911,24085
29,7911,24085
30,7911,24085
31,7911,24085
32,7911,24085
33,7911,24085
34,7911,24085
35,7911,24085
36,7911,24085
37,7911,24085
38,7911,24085
39,7911,24085
40,7911,24085
41,7911,24085
42,7911,24085
43,7911,24085
44,7911,24085
45,7911,24085
46,7911,24085
47,7911,24085
48,7911,24085
49,7911,24085
0,11915,27857
1,11342,25207
2,10620,25207
3,9474,24020
4,9474,24020
5,8623,24020
6,8623,24020
7,8623,24020
8,7804,24020
9,7804,24020
10,7804,24020
11,7804,24020
12,7804,24020
13,7804,24020
14,7804,24020
15,7804,24020
16,7804,24020
17,7804,24020
18,7804,24020
19,7804,24020
20,7804,24020
21,7804,24020
22,7804,24020
23,7804,24020
24,7804,24020
25,7804,24020
26,7804,24020
27,7804,24020
28,7804,24020
29,7804,24020
30,7804,24020
31,7804,24020
32,7804,24020
33,7804,24020
34,7804,24020
35,7804,24020
36,7804,24020
37,7804,24020
38,7804,24020
39,7804,24020
40,7804,24020
41,7804,24020
42,7804,24020
43,7804,24020
44,7804,24020
45,7804,24020
46,7804,24020
47,7804,24020
48,7804,24020
49,7804,24020
0,12184,26102
1,11307,26102
2,9909,26102
3,9556,26102
4,8935,26102
5,8935,26102
6,8935,26102
7,8802,25112
8,8802,25112
9,8385,25112
10,8359,25112
11,8359,25112
12,8359,25112
13,8359,25112
14,8359,25112
15,8359,25112
16,8211,25112
17,8211,25112
18,8211,25112
19,8211,24339
20,8211,24339
21,8211,24339
22,8211,24339
23,7854,24339
24,7854,24339
25,7854,24339
26,7854,24339
27,7854,24339
28,7854,24339
29,7854,24339
30,7854,24339
31,7854,24339
32,7854,24339
33,7854,24339
34,7854,24339
35,7854,24339
36,7854,24339
37,7854,24339
38,7658,24339
39,7658,24339
40,7658,24339
41,7658,24339
42,7658,24339
43,7658,24339
44,7658,24339
45,7658,24339
46,7658,24339
47,7658,24339
48,7658,24339
49,7658,24339
0,12094,25777
1,11132,25777
2,10489,25777
3,9896,25777
4,9022,25456
5,9022,25456
6,8257,25456
7,8257,25456
8,8074,25456
9,8074,25456
10,8074,25456
11,8074,25456
12,8074,25456
13,8074,25456
14,8041,25456
15,8041,25456
16,7952,25456
17,7952,25456
18,7952,25456
19,7742,25456
20,7742,25456
21,7742,25456
22,7742,25456
23,7742,25456
24,7742,25456
25,7742,25456
26,7742,25456
27,7742,25456
28,7742,25456
29,7742,25456
30,7742,25456
31,7742,25456
32,7742,25456
33,7742,25456
34,7742,25456
35,7742,25456
36,7691,25456
37,7691,25456
38,7691,25456
39,7691,25456
40,7691,25456
41,7691,25456
42,7691,25456
43,7691,25456
44,7691,25456
45,7691,25456
46,7691,25456
47,7691,25456
48,7691,25456
49,7691,25456
0,11312,26308
1,11312,26308
2,9898,26308
3,8872,26308
4,8742,23819
5,8742,23819
6,8568,23819
7,8547,23819
8,8141,23819
9,8141,23819
10,8141,23819
11,8141,23819
12,8141,23819
13,8141,23819
14,8141,23819
15,8141,23819
16,8141,23819
17,8141,23819
18,8111,23819
19,8111,23819
20,8111,23819
21,8111,23819
22,8111,23819
23,8111,23819
24,8111,23819
25,8111,23819
26,8111,23819
27,8111,23819
28,8111,23819
29,8111,23819
30,8111,23819
31,8111,23819
32,8111,23819
33,8111,23819
34,8111,23819
35,8111,23819
36,8088,23819
37,8088,23819
38,8088,23819
39,8088,23819
40,8088,23819
41,8088,23819
42,8088,23819
43,8088,23819
44,8088,23819
45,7965,23819
46,7965,23819
47,7965,23819
48,7965,23819
49,7965,23819
0,11752,27259
1,11261,25544
2,9033,25544
3,8789,25544
4,8789,24809
5,8789,24809
6,8743,24809
7,8743,24809
8,8336,24809
9,8336,24809
10,8180,24809
11,8113,24809
12,8113,24809
13,8113,24809
14,8113,24809
15,8113,24809
16,8038,24809
17,8038,24809
18,8038,24809
19,8028,24809
20,8028,24809
21,8028,24809
22,8028,24809
23,8028,24809
24,8028,24809
25,8028,24809
26,8028,24809
27,8028,24809
28,8028,24809
29,8028,24809
30,8028,24140
31,8028,24140
32,8028,24140
33,8028,24140
34,8028,24140
35,8028,24140
36,8028,24140
37,8028,24140
38,8028,24140
39,8028,24140
40,7910,24140
41,7910,24140
42,7910,24140
43,7910,24140
44,7910,24140
45,7858,24140
46,7858,24140
47,7858,24140
48,7858,24140
49,7858,24140
0,11646,25877
1,10016,25877
2,9325,25877
3,9225,25877
4,9225,25877
5,9083,25517
6,8416,25517
7,8416,24529
8,8416,24529
9,8416,24529
10,8416,24529
11,8397,24529
12,8397,24529
13,8306,24529
14,8306,24529
15,8306,24529
16,8306,24529
17,8306,24529
18,8306,24529
19,8223,24529
20,8223,24529
21,8223,24529
22,7974,24529
23,7974,24529
24,7974,24529
25,7974,24529
26,7974,24529
27,7974,24529
28,7974,24529
29,7974,24529
30,7974,24529
31,7974,24529
32,7974,24529
33,7974,24529
34,7974,24529
35,7974,24529
36,7974,24529
37,7974,24529
38,7974,24529
39,7974,24529
40,7974,24529
41,7974,24529
42,7974,24529
43,7974,24529
44,7974,24529
45,7974,24529
46,7974,24529
47,7974,24529
48,7974,24529
49,7974,24529
0,12132,27715
1,10693,26760
2,10501,26642
3,9907,26642
4,8878,26606
5,8878,26606
6,8398,26606
7,8398,26606
8,8398,25969
9,8398,24748
10,8140,24748
11,8140,24748
12,8140,24748
13,8140,24748
14,8140,24748
